StateWellNumber,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription,ParameterFlag,ParameterValue,ParameterUnit,PlusMinus
3735410,Angelina,124CRRZ,1070,6/12/2014,1020,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.418055,-94.720833,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.25,mg/L,
3735505,Angelina,124CRRZ,894,3/5/2002,1245,1,1,23,7,Analysis Balanced.  ,31.4386111,-94.6705556,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.23,mg/L,
3735701,Angelina,124CZWX,1170,3/5/2002,1050,1,1,23,7,Analysis Balanced.  ,31.3988889,-94.7269444,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.53,mg/L,
3735701,Angelina,124CZWX,1170,4/20/2006,915,1,1,24,7,Analysis Balanced.  ,31.3988889,-94.7269444,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.7,mg/L,
3735714,Angelina,124CRRZ,1185,3/10/2010,830,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4016667,-94.7116667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.47,mg/L,
3735714,Angelina,124CRRZ,1185,7/28/2014,1000,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4016667,-94.7116667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.53,mg/L,
3735714,Angelina,124CRRZ,1185,4/2/2018,1510,1,1,23,7,Analysis Balanced.  Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,31.4016667,-94.7116667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.439,mg/L,
3735904,Angelina,124CRRZ,1248,3/5/2002,1415,1,1,23,7,Analysis Balanced.  ,31.386945,-94.646667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.34,mg/L,
3735904,Angelina,124CRRZ,1248,4/20/2006,1345,1,1,24,7,Analysis Balanced.  ,31.386945,-94.646667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.4,mg/L,
3735904,Angelina,124CRRZ,1248,3/10/2010,1145,1,1,23,7,Analysis Balanced.  ,31.386945,-94.646667,950,"FLUORIDE, DISSOLVED (MG/L AS F)",,0.36,mg/L,
