Year	MUNICIPALITY_NAME	Cattle [#/km2]	Pork  [#/km2]	Poultry [#/km2]	Crops [%]	Flood control	Campsites [#/km2]	Outdoor activities [#/km2]	Human population [#/km2]	Distance from Montreal [km]	Soil capacity for agriculture																					CSDNAME	Year	CDNAME	gr	sept_gr	carbon	hunts	camp	outdo	modif.catt	modif.pig	modif.poult	modif.crop	modif.flood
1971	Saint Pierre de Veronne a Pike River	63.43	5.53	2563.05	63.61	0	0.000000	0.0000	13.96	66.91	2																					Contrecoeur	1991	Lajemmerais	2	3	1.33245488	0.124919474	0	3.665150017	0.194424222	0	0	0.263400895	1.280321854
1971	Saint Polycarpe	42.75	8.27	82.58	78.28	0	0.000000	0.0000	17.98	55.02	2																					Contrecoeur	1996	Lajemmerais	2	3	1.405220766	0.64402929	0	3.665150017	0.223073285	0	0.002368422	0.239619145	1.280321854
1971	Saint Remi	18.1	24.09	528.14	53.74	0.67	0.000000	0.0000	56.67	28.98	2																					Contrecoeur	2001	Lajemmerais	4	1	1.468446551	0.752292835	0	0	0.293221767	0	0.010364742	0.259887682	0
1971	Saint Robert	34.85	48.1	413.24	43.3	0.67	0.000000	0.0000	21.24	76.2	4																					Contrecoeur	2006	Lajemmerais	4	1	1.529143658	0.846676437	0	0	0.293221767	0	0.010364742	0.259887682	0
1971	Saint Roch de Richelieu	16.23	1.57	57.14	29.1	0	0.000000	0.0000	34.19	60.6	2																					Coteau_du_Lac	1971	Vaudreuil_Soulanges	3	4	0.480512842	0	0	0	0.828319506	0.010204815	0.031356194	0.655979931	0
1971	Saint Sebastien	59.04	22.14	692.8	58.76	0	0.000000	0.0000	13.05	60.24	2																					Coteau_du_Lac	1976	Vaudreuil_Soulanges	2	3	0.480512842	0	0	1.578833854	0.754332605	0.000313994	0.016878347	0.688950084	0.731612488
1971	Saint Simon	42.15	158.45	401.64	58.32	0	0.000000	0.0000	15.57	71.19	2																					Coteau_du_Lac	1981	Vaudreuil_Soulanges	3	4	0.518601765	0	0	0	0.786597569	0.000627989	0	0.849116565	0
1971	Saint Stanislas de Kostka	41.78	10.03	244.59	41.27	0	0.000000	0.0000	17.79	49.38	2																					Coteau_du_Lac	1986	Vaudreuil_Soulanges	7	5	0.610532635	0	3.819687026	0	0.578266035	0	0.001865867	0.748224294	0
1971	Saint Telesphore	36.41	8.74	41.52	52.81	0	0.000000	0.0000	12.34	61.32	2																					Coteau_du_Lac	1991	Vaudreuil_Soulanges	7	5	0.699942841	0.005551977	2.95981874	0	0.54906068	0	0	0.888752815	2.560643708
1971	Saint Theodore dActon	48.89	55.87	769.13	41.12	0	0.000000	0.0000	15.08	91.28	4																					Coteau_du_Lac	1996	Vaudreuil_Soulanges	2	3	0.699942841	0.027759883	2.673195979	3.935807249	0.690637116	0	0.001865867	0.947666695	0.320080464
